235, [s0.0_00000, s0.0_10000, s0.0_01000, s0.0_00100, s0.0_00010, s0.0_00001, s0.0_11000, s0.0_10100, s0.0_10010, s0.0_10001, s0.0_01100, s0.0_01010, s0.0_01001, s0.0_00110, s0.0_00101, s0.0_00011, s0.0_11100, s0.0_11010, s0.0_11001, s0.0_10110, s0.0_10101, s0.0_10011, s0.0_01110, s0.0_01101, s0.0_01011, s0.0_00111, s0.1_00000, s0.1_10000, s0.1_01000, s0.1_00100, s0.1_00010, s0.1_00001, s0.1_11000, s0.1_10100, s0.1_10010, s0.1_10001, s0.1_01100, s0.1_01010, s0.1_01001, s0.1_00110, s0.1_00101, s0.1_00011, s0.1_11100, s0.1_11010, s0.1_11001, s0.1_10110, s0.1_10101, s0.1_10011, s0.1_01110, s0.1_01101, s0.1_01011, s0.1_00111, s0.2_00000, s0.2_10000, s0.2_01000, s0.2_00100, s0.2_00010, s0.2_00001, s0.2_11000, s0.2_10100, s0.2_10010, s0.2_10001, s0.2_01100, s0.2_01010, s0.2_01001, s0.2_00110, s0.2_00101, s0.2_00011, s0.2_11100, s0.2_11010, s0.2_11001, s0.2_10110, s0.2_10101, s0.2_10011, s0.2_01110, s0.2_01101, s0.2_01011, s0.2_00111, s1.0_00000, s1.0_10000, s1.0_01000, s1.0_00100, s1.0_00010, s1.0_00001, s1.0_11000, s1.0_10100, s1.0_10010, s1.0_10001, s1.0_01100, s1.0_01010, s1.0_01001, s1.0_00110, s1.0_00101, s1.0_00011, s1.0_11100, s1.0_11010, s1.0_11001, s1.0_10110, s1.0_10101, s1.0_10011, s1.0_01110, s1.0_01101, s1.0_01011, s1.0_00111, s1.1_00000, s1.1_10000, s1.1_01000, s1.1_00100, s1.1_00010, s1.1_00001, s1.1_11000, s1.1_10100, s1.1_10010, s1.1_10001, s1.1_01100, s1.1_01010, s1.1_01001, s1.1_00110, s1.1_00101, s1.1_00011, s1.1_11100, s1.1_11010, s1.1_11001, s1.1_10110, s1.1_10101, s1.1_10011, s1.1_01110, s1.1_01101, s1.1_01011, s1.1_00111, s1.2_00000, s1.2_10000, s1.2_01000, s1.2_00100, s1.2_00010, s1.2_00001, s1.2_11000, s1.2_10100, s1.2_10010, s1.2_10001, s1.2_01100, s1.2_01010, s1.2_01001, s1.2_00110, s1.2_00101, s1.2_00011, s1.2_11100, s1.2_11010, s1.2_11001, s1.2_10110, s1.2_10101, s1.2_10011, s1.2_01110, s1.2_01101, s1.2_01011, s1.2_00111, s2.0_00000, s2.0_10000, s2.0_01000, s2.0_00100, s2.0_00010, s2.0_00001, s2.0_11000, s2.0_10100, s2.0_10010, s2.0_10001, s2.0_01100, s2.0_01010, s2.0_01001, s2.0_00110, s2.0_00101, s2.0_00011, s2.0_11100, s2.0_11010, s2.0_11001, s2.0_10110, s2.0_10101, s2.0_10011, s2.0_01110, s2.0_01101, s2.0_01011, s2.0_00111, s2.1_00000, s2.1_10000, s2.1_01000, s2.1_00100, s2.1_00010, s2.1_00001, s2.1_11000, s2.1_10100, s2.1_10010, s2.1_10001, s2.1_01100, s2.1_01010, s2.1_01001, s2.1_00110, s2.1_00101, s2.1_00011, s2.1_11100, s2.1_11010, s2.1_11001, s2.1_10110, s2.1_10101, s2.1_10011, s2.1_01110, s2.1_01101, s2.1_01011, s2.1_00111, s2.2_00000, s2.2_10000, s2.2_01000, s2.2_00100, s2.2_00010, s2.2_00001, s2.2_11000, s2.2_10100, s2.2_10010, s2.2_10001, s2.2_01100, s2.2_01010, s2.2_01001, s2.2_00110, s2.2_00101, s2.2_00011, s2.2_11100, s2.2_11010, s2.2_11001, s2.2_10110, s2.2_10101, s2.2_10011, s2.2_01110, s2.2_01101, s2.2_01011, s2.2_00111, exit]
1, [e1]
10, [North, South, East, West, Sample, Check0, Check1, Check2, Check3, Check4]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
22,6,22 -> 1
23,6,23 -> 1
24,6,24 -> 1
25,6,25 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,7,24 -> 1
25,7,25 -> 1
0,8,0 -> 1
1,8,1 -> 1
2,8,2 -> 1
3,8,3 -> 1
4,8,4 -> 1
5,8,5 -> 1
6,8,6 -> 1
7,8,7 -> 1
8,8,8 -> 1
9,8,9 -> 1
10,8,10 -> 1
11,8,11 -> 1
12,8,12 -> 1
13,8,13 -> 1
14,8,14 -> 1
15,8,15 -> 1
16,8,16 -> 1
17,8,17 -> 1
18,8,18 -> 1
19,8,19 -> 1
20,8,20 -> 1
21,8,21 -> 1
22,8,22 -> 1
23,8,23 -> 1
24,8,24 -> 1
25,8,25 -> 1
0,9,0 -> 1
1,9,1 -> 1
2,9,2 -> 1
3,9,3 -> 1
4,9,4 -> 1
5,9,5 -> 1
6,9,6 -> 1
7,9,7 -> 1
8,9,8 -> 1
9,9,9 -> 1
10,9,10 -> 1
11,9,11 -> 1
12,9,12 -> 1
13,9,13 -> 1
14,9,14 -> 1
15,9,15 -> 1
16,9,16 -> 1
17,9,17 -> 1
18,9,18 -> 1
19,9,19 -> 1
20,9,20 -> 1
21,9,21 -> 1
22,9,22 -> 1
23,9,23 -> 1
24,9,24 -> 1
25,9,25 -> 1
26,0,104 -> 1
26,1,26 -> 1
26,2,52 -> 1
26,3,0 -> 1
27,0,105 -> 1
27,1,27 -> 1
27,2,53 -> 1
27,3,1 -> 1
28,0,106 -> 1
28,1,28 -> 1
28,2,54 -> 1
28,3,2 -> 1
29,0,107 -> 1
29,1,29 -> 1
29,2,55 -> 1
29,3,3 -> 1
30,0,108 -> 1
30,1,30 -> 1
30,2,56 -> 1
30,3,4 -> 1
31,0,109 -> 1
31,1,31 -> 1
31,2,57 -> 1
31,3,5 -> 1
32,0,110 -> 1
32,1,32 -> 1
32,2,58 -> 1
32,3,6 -> 1
33,0,111 -> 1
33,1,33 -> 1
33,2,59 -> 1
33,3,7 -> 1
34,0,112 -> 1
34,1,34 -> 1
34,2,60 -> 1
34,3,8 -> 1
35,0,113 -> 1
35,1,35 -> 1
35,2,61 -> 1
35,3,9 -> 1
36,0,114 -> 1
36,1,36 -> 1
36,2,62 -> 1
36,3,10 -> 1
37,0,115 -> 1
37,1,37 -> 1
37,2,63 -> 1
37,3,11 -> 1
38,0,116 -> 1
38,1,38 -> 1
38,2,64 -> 1
38,3,12 -> 1
39,0,117 -> 1
39,1,39 -> 1
39,2,65 -> 1
39,3,13 -> 1
40,0,118 -> 1
40,1,40 -> 1
40,2,66 -> 1
40,3,14 -> 1
41,0,119 -> 1
41,1,41 -> 1
41,2,67 -> 1
41,3,15 -> 1
42,0,120 -> 1
42,1,42 -> 1
42,2,68 -> 1
42,3,16 -> 1
43,0,121 -> 1
43,1,43 -> 1
43,2,69 -> 1
43,3,17 -> 1
44,0,122 -> 1
44,1,44 -> 1
44,2,70 -> 1
44,3,18 -> 1
45,0,123 -> 1
45,1,45 -> 1
45,2,71 -> 1
45,3,19 -> 1
46,0,124 -> 1
46,1,46 -> 1
46,2,72 -> 1
46,3,20 -> 1
47,0,125 -> 1
47,1,47 -> 1
47,2,73 -> 1
47,3,21 -> 1
48,0,126 -> 1
48,1,48 -> 1
48,2,74 -> 1
48,3,22 -> 1
49,0,127 -> 1
49,1,49 -> 1
49,2,75 -> 1
49,3,23 -> 1
50,0,128 -> 1
50,1,50 -> 1
50,2,76 -> 1
50,3,24 -> 1
51,0,129 -> 1
51,1,51 -> 1
51,2,77 -> 1
51,3,25 -> 1
26,4,26 -> 1
27,4,26 -> 1
28,4,28 -> 1
29,4,29 -> 1
30,4,30 -> 1
31,4,31 -> 1
32,4,28 -> 1
33,4,29 -> 1
34,4,30 -> 1
35,4,31 -> 1
36,4,36 -> 1
37,4,37 -> 1
38,4,38 -> 1
39,4,39 -> 1
40,4,40 -> 1
41,4,41 -> 1
42,4,36 -> 1
43,4,37 -> 1
44,4,38 -> 1
45,4,39 -> 1
46,4,40 -> 1
47,4,41 -> 1
48,4,48 -> 1
49,4,49 -> 1
50,4,50 -> 1
51,4,51 -> 1
26,5,26 -> 1
27,5,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
32,5,32 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
36,5,36 -> 1
37,5,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
40,5,40 -> 1
41,5,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
44,5,44 -> 1
45,5,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
48,5,48 -> 1
49,5,49 -> 1
50,5,50 -> 1
51,5,51 -> 1
26,6,26 -> 1
27,6,27 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,6,30 -> 1
31,6,31 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,6,38 -> 1
39,6,39 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,6,42 -> 1
43,6,43 -> 1
44,6,44 -> 1
45,6,45 -> 1
46,6,46 -> 1
47,6,47 -> 1
48,6,48 -> 1
49,6,49 -> 1
50,6,50 -> 1
51,6,51 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,7,36 -> 1
37,7,37 -> 1
38,7,38 -> 1
39,7,39 -> 1
40,7,40 -> 1
41,7,41 -> 1
42,7,42 -> 1
43,7,43 -> 1
44,7,44 -> 1
45,7,45 -> 1
46,7,46 -> 1
47,7,47 -> 1
48,7,48 -> 1
49,7,49 -> 1
50,7,50 -> 1
51,7,51 -> 1
26,8,26 -> 1
27,8,27 -> 1
28,8,28 -> 1
29,8,29 -> 1
30,8,30 -> 1
31,8,31 -> 1
32,8,32 -> 1
33,8,33 -> 1
34,8,34 -> 1
35,8,35 -> 1
36,8,36 -> 1
37,8,37 -> 1
38,8,38 -> 1
39,8,39 -> 1
40,8,40 -> 1
41,8,41 -> 1
42,8,42 -> 1
43,8,43 -> 1
44,8,44 -> 1
45,8,45 -> 1
46,8,46 -> 1
47,8,47 -> 1
48,8,48 -> 1
49,8,49 -> 1
50,8,50 -> 1
51,8,51 -> 1
26,9,26 -> 1
27,9,27 -> 1
28,9,28 -> 1
29,9,29 -> 1
30,9,30 -> 1
31,9,31 -> 1
32,9,32 -> 1
33,9,33 -> 1
34,9,34 -> 1
35,9,35 -> 1
36,9,36 -> 1
37,9,37 -> 1
38,9,38 -> 1
39,9,39 -> 1
40,9,40 -> 1
41,9,41 -> 1
42,9,42 -> 1
43,9,43 -> 1
44,9,44 -> 1
45,9,45 -> 1
46,9,46 -> 1
47,9,47 -> 1
48,9,48 -> 1
49,9,49 -> 1
50,9,50 -> 1
51,9,51 -> 1
52,0,130 -> 1
52,1,52 -> 1
52,2,234 -> 1
52,3,26 -> 1
53,0,131 -> 1
53,1,53 -> 1
53,2,234 -> 1
53,3,27 -> 1
54,0,132 -> 1
54,1,54 -> 1
54,2,234 -> 1
54,3,28 -> 1
55,0,133 -> 1
55,1,55 -> 1
55,2,234 -> 1
55,3,29 -> 1
56,0,134 -> 1
56,1,56 -> 1
56,2,234 -> 1
56,3,30 -> 1
57,0,135 -> 1
57,1,57 -> 1
57,2,234 -> 1
57,3,31 -> 1
58,0,136 -> 1
58,1,58 -> 1
58,2,234 -> 1
58,3,32 -> 1
59,0,137 -> 1
59,1,59 -> 1
59,2,234 -> 1
59,3,33 -> 1
60,0,138 -> 1
60,1,60 -> 1
60,2,234 -> 1
60,3,34 -> 1
61,0,139 -> 1
61,1,61 -> 1
61,2,234 -> 1
61,3,35 -> 1
62,0,140 -> 1
62,1,62 -> 1
62,2,234 -> 1
62,3,36 -> 1
63,0,141 -> 1
63,1,63 -> 1
63,2,234 -> 1
63,3,37 -> 1
64,0,142 -> 1
64,1,64 -> 1
64,2,234 -> 1
64,3,38 -> 1
65,0,143 -> 1
65,1,65 -> 1
65,2,234 -> 1
65,3,39 -> 1
66,0,144 -> 1
66,1,66 -> 1
66,2,234 -> 1
66,3,40 -> 1
67,0,145 -> 1
67,1,67 -> 1
67,2,234 -> 1
67,3,41 -> 1
68,0,146 -> 1
68,1,68 -> 1
68,2,234 -> 1
68,3,42 -> 1
69,0,147 -> 1
69,1,69 -> 1
69,2,234 -> 1
69,3,43 -> 1
70,0,148 -> 1
70,1,70 -> 1
70,2,234 -> 1
70,3,44 -> 1
71,0,149 -> 1
71,1,71 -> 1
71,2,234 -> 1
71,3,45 -> 1
72,0,150 -> 1
72,1,72 -> 1
72,2,234 -> 1
72,3,46 -> 1
73,0,151 -> 1
73,1,73 -> 1
73,2,234 -> 1
73,3,47 -> 1
74,0,152 -> 1
74,1,74 -> 1
74,2,234 -> 1
74,3,48 -> 1
75,0,153 -> 1
75,1,75 -> 1
75,2,234 -> 1
75,3,49 -> 1
76,0,154 -> 1
76,1,76 -> 1
76,2,234 -> 1
76,3,50 -> 1
77,0,155 -> 1
77,1,77 -> 1
77,2,234 -> 1
77,3,51 -> 1
52,4,52 -> 1
53,4,53 -> 1
54,4,54 -> 1
55,4,52 -> 1
56,4,56 -> 1
57,4,57 -> 1
58,4,58 -> 1
59,4,53 -> 1
60,4,60 -> 1
61,4,61 -> 1
62,4,54 -> 1
63,4,63 -> 1
64,4,64 -> 1
65,4,56 -> 1
66,4,57 -> 1
67,4,67 -> 1
68,4,58 -> 1
69,4,69 -> 1
70,4,70 -> 1
71,4,60 -> 1
72,4,61 -> 1
73,4,73 -> 1
74,4,63 -> 1
75,4,64 -> 1
76,4,76 -> 1
77,4,67 -> 1
52,5,52 -> 1
53,5,53 -> 1
54,5,54 -> 1
55,5,55 -> 1
56,5,56 -> 1
57,5,57 -> 1
58,5,58 -> 1
59,5,59 -> 1
60,5,60 -> 1
61,5,61 -> 1
62,5,62 -> 1
63,5,63 -> 1
64,5,64 -> 1
65,5,65 -> 1
66,5,66 -> 1
67,5,67 -> 1
68,5,68 -> 1
69,5,69 -> 1
70,5,70 -> 1
71,5,71 -> 1
72,5,72 -> 1
73,5,73 -> 1
74,5,74 -> 1
75,5,75 -> 1
76,5,76 -> 1
77,5,77 -> 1
52,6,52 -> 1
53,6,53 -> 1
54,6,54 -> 1
55,6,55 -> 1
56,6,56 -> 1
57,6,57 -> 1
58,6,58 -> 1
59,6,59 -> 1
60,6,60 -> 1
61,6,61 -> 1
62,6,62 -> 1
63,6,63 -> 1
64,6,64 -> 1
65,6,65 -> 1
66,6,66 -> 1
67,6,67 -> 1
68,6,68 -> 1
69,6,69 -> 1
70,6,70 -> 1
71,6,71 -> 1
72,6,72 -> 1
73,6,73 -> 1
74,6,74 -> 1
75,6,75 -> 1
76,6,76 -> 1
77,6,77 -> 1
52,7,52 -> 1
53,7,53 -> 1
54,7,54 -> 1
55,7,55 -> 1
56,7,56 -> 1
57,7,57 -> 1
58,7,58 -> 1
59,7,59 -> 1
60,7,60 -> 1
61,7,61 -> 1
62,7,62 -> 1
63,7,63 -> 1
64,7,64 -> 1
65,7,65 -> 1
66,7,66 -> 1
67,7,67 -> 1
68,7,68 -> 1
69,7,69 -> 1
70,7,70 -> 1
71,7,71 -> 1
72,7,72 -> 1
73,7,73 -> 1
74,7,74 -> 1
75,7,75 -> 1
76,7,76 -> 1
77,7,77 -> 1
52,8,52 -> 1
53,8,53 -> 1
54,8,54 -> 1
55,8,55 -> 1
56,8,56 -> 1
57,8,57 -> 1
58,8,58 -> 1
59,8,59 -> 1
60,8,60 -> 1
61,8,61 -> 1
62,8,62 -> 1
63,8,63 -> 1
64,8,64 -> 1
65,8,65 -> 1
66,8,66 -> 1
67,8,67 -> 1
68,8,68 -> 1
69,8,69 -> 1
70,8,70 -> 1
71,8,71 -> 1
72,8,72 -> 1
73,8,73 -> 1
74,8,74 -> 1
75,8,75 -> 1
76,8,76 -> 1
77,8,77 -> 1
52,9,52 -> 1
53,9,53 -> 1
54,9,54 -> 1
55,9,55 -> 1
56,9,56 -> 1
57,9,57 -> 1
58,9,58 -> 1
59,9,59 -> 1
60,9,60 -> 1
61,9,61 -> 1
62,9,62 -> 1
63,9,63 -> 1
64,9,64 -> 1
65,9,65 -> 1
66,9,66 -> 1
67,9,67 -> 1
68,9,68 -> 1
69,9,69 -> 1
70,9,70 -> 1
71,9,71 -> 1
72,9,72 -> 1
73,9,73 -> 1
74,9,74 -> 1
75,9,75 -> 1
76,9,76 -> 1
77,9,77 -> 1
78,0,156 -> 1
78,1,0 -> 1
78,2,104 -> 1
78,3,78 -> 1
79,0,157 -> 1
79,1,1 -> 1
79,2,105 -> 1
79,3,79 -> 1
80,0,158 -> 1
80,1,2 -> 1
80,2,106 -> 1
80,3,80 -> 1
81,0,159 -> 1
81,1,3 -> 1
81,2,107 -> 1
81,3,81 -> 1
82,0,160 -> 1
82,1,4 -> 1
82,2,108 -> 1
82,3,82 -> 1
83,0,161 -> 1
83,1,5 -> 1
83,2,109 -> 1
83,3,83 -> 1
84,0,162 -> 1
84,1,6 -> 1
84,2,110 -> 1
84,3,84 -> 1
85,0,163 -> 1
85,1,7 -> 1
85,2,111 -> 1
85,3,85 -> 1
86,0,164 -> 1
86,1,8 -> 1
86,2,112 -> 1
86,3,86 -> 1
87,0,165 -> 1
87,1,9 -> 1
87,2,113 -> 1
87,3,87 -> 1
88,0,166 -> 1
88,1,10 -> 1
88,2,114 -> 1
88,3,88 -> 1
89,0,167 -> 1
89,1,11 -> 1
89,2,115 -> 1
89,3,89 -> 1
90,0,168 -> 1
90,1,12 -> 1
90,2,116 -> 1
90,3,90 -> 1
91,0,169 -> 1
91,1,13 -> 1
91,2,117 -> 1
91,3,91 -> 1
92,0,170 -> 1
92,1,14 -> 1
92,2,118 -> 1
92,3,92 -> 1
93,0,171 -> 1
93,1,15 -> 1
93,2,119 -> 1
93,3,93 -> 1
94,0,172 -> 1
94,1,16 -> 1
94,2,120 -> 1
94,3,94 -> 1
95,0,173 -> 1
95,1,17 -> 1
95,2,121 -> 1
95,3,95 -> 1
96,0,174 -> 1
96,1,18 -> 1
96,2,122 -> 1
96,3,96 -> 1
97,0,175 -> 1
97,1,19 -> 1
97,2,123 -> 1
97,3,97 -> 1
98,0,176 -> 1
98,1,20 -> 1
98,2,124 -> 1
98,3,98 -> 1
99,0,177 -> 1
99,1,21 -> 1
99,2,125 -> 1
99,3,99 -> 1
100,0,178 -> 1
100,1,22 -> 1
100,2,126 -> 1
100,3,100 -> 1
101,0,179 -> 1
101,1,23 -> 1
101,2,127 -> 1
101,3,101 -> 1
102,0,180 -> 1
102,1,24 -> 1
102,2,128 -> 1
102,3,102 -> 1
103,0,181 -> 1
103,1,25 -> 1
103,2,129 -> 1
103,3,103 -> 1
78,4,78 -> 1
79,4,79 -> 1
80,4,78 -> 1
81,4,81 -> 1
82,4,82 -> 1
83,4,83 -> 1
84,4,79 -> 1
85,4,85 -> 1
86,4,86 -> 1
87,4,87 -> 1
88,4,81 -> 1
89,4,82 -> 1
90,4,83 -> 1
91,4,91 -> 1
92,4,92 -> 1
93,4,93 -> 1
94,4,85 -> 1
95,4,86 -> 1
96,4,87 -> 1
97,4,97 -> 1
98,4,98 -> 1
99,4,99 -> 1
100,4,91 -> 1
101,4,92 -> 1
102,4,93 -> 1
103,4,103 -> 1
78,5,78 -> 1
79,5,79 -> 1
80,5,80 -> 1
81,5,81 -> 1
82,5,82 -> 1
83,5,83 -> 1
