76, [s0.0_00, s0.0_10, s0.0_01, s0.1_00, s0.1_10, s0.1_01, s0.2_00, s0.2_10, s0.2_01, s0.3_00, s0.3_10, s0.3_01, s0.4_00, s0.4_10, s0.4_01, s1.0_00, s1.0_10, s1.0_01, s1.1_00, s1.1_10, s1.1_01, s1.2_00, s1.2_10, s1.2_01, s1.3_00, s1.3_10, s1.3_01, s1.4_00, s1.4_10, s1.4_01, s2.0_00, s2.0_10, s2.0_01, s2.1_00, s2.1_10, s2.1_01, s2.2_00, s2.2_10, s2.2_01, s2.3_00, s2.3_10, s2.3_01, s2.4_00, s2.4_10, s2.4_01, s3.0_00, s3.0_10, s3.0_01, s3.1_00, s3.1_10, s3.1_01, s3.2_00, s3.2_10, s3.2_01, s3.3_00, s3.3_10, s3.3_01, s3.4_00, s3.4_10, s3.4_01, s4.0_00, s4.0_10, s4.0_01, s4.1_00, s4.1_10, s4.1_01, s4.2_00, s4.2_10, s4.2_01, s4.3_00, s4.3_10, s4.3_01, s4.4_00, s4.4_10, s4.4_01, exit]
1, [e1]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
3,50,2 -> 1
3,51,2 -> 1
3,52,2 -> 1
3,53,2 -> 1
3,54,2 -> 1
3,55,2 -> 1
3,56,2 -> 1
3,57,2 -> 1
3,58,2 -> 1
3,59,2 -> 1
3,60,2 -> 1
3,61,2 -> 1
3,62,2 -> 1
3,63,2 -> 1
3,64,2 -> 1
3,65,2 -> 1
3,66,2 -> 1
3,67,2 -> 1
3,68,2 -> 1
3,69,2 -> 1
3,70,2 -> 1
3,71,2 -> 1
3,72,2 -> 1
3,73,2 -> 1
3,74,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
4,50,2 -> 1
4,51,2 -> 1
4,52,2 -> 1
4,53,2 -> 1
4,54,2 -> 1
4,55,2 -> 1
4,56,2 -> 1
4,57,2 -> 1
4,58,2 -> 1
4,59,2 -> 1
4,60,2 -> 1
4,61,2 -> 1
4,62,2 -> 1
4,63,2 -> 1
4,64,2 -> 1
4,65,2 -> 1
4,66,2 -> 1
4,67,2 -> 1
4,68,2 -> 1
4,69,2 -> 1
4,70,2 -> 1
4,71,2 -> 1
4,72,2 -> 1
4,73,2 -> 1
4,74,2 -> 1
5,0,0 -> 0.687607
5,0,1 -> 0.312393
5,1,1 -> 0.687607
5,1,0 -> 0.312393
5,2,0 -> 0.687607
5,2,1 -> 0.312393
5,3,0 -> 0.730361
5,3,1 -> 0.269639
5,4,1 -> 0.730361
5,4,0 -> 0.269639
5,5,0 -> 0.730361
5,5,1 -> 0.269639
5,6,0 -> 0.75
5,6,1 -> 0.25
5,7,1 -> 0.75
5,7,0 -> 0.25
5,8,0 -> 0.75
5,8,1 -> 0.25
5,9,0 -> 0.730361
5,9,1 -> 0.269639
5,10,1 -> 0.730361
5,10,0 -> 0.269639
5,11,0 -> 0.730361
5,11,1 -> 0.269639
5,12,0 -> 0.687607
5,12,1 -> 0.312393
5,13,1 -> 0.687607
5,13,0 -> 0.312393
5,14,0 -> 0.687607
5,14,1 -> 0.312393
5,15,0 -> 0.730361
5,15,1 -> 0.269639
5,16,1 -> 0.730361
5,16,0 -> 0.269639
5,17,0 -> 0.730361
5,17,1 -> 0.269639
5,18,0 -> 0.806274
5,18,1 -> 0.193726
5,19,1 -> 0.806274
5,19,0 -> 0.193726
5,20,0 -> 0.806274
5,20,1 -> 0.193726
5,21,0 -> 0.853553
5,21,1 -> 0.146447
5,22,1 -> 0.853553
5,22,0 -> 0.146447
5,23,0 -> 0.853553
5,23,1 -> 0.146447
5,24,0 -> 0.806274
5,24,1 -> 0.193726
5,25,1 -> 0.806274
5,25,0 -> 0.193726
5,26,0 -> 0.806274
5,26,1 -> 0.193726
5,27,0 -> 0.730361
5,27,1 -> 0.269639
5,28,1 -> 0.730361
5,28,0 -> 0.269639
5,29,0 -> 0.730361
5,29,1 -> 0.269639
5,30,0 -> 0.75
5,30,1 -> 0.25
5,31,1 -> 0.75
5,31,0 -> 0.25
5,32,0 -> 0.75
5,32,1 -> 0.25
5,33,0 -> 0.853553
5,33,1 -> 0.146447
5,34,1 -> 0.853553
5,34,0 -> 0.146447
5,35,0 -> 0.853553
5,35,1 -> 0.146447
5,36,0 -> 1.0
5,36,1 -> 0.0
5,37,1 -> 1.0
5,37,0 -> 0.0
5,38,0 -> 1.0
5,38,1 -> 0.0
5,39,0 -> 0.853553
5,39,1 -> 0.146447
5,40,1 -> 0.853553
5,40,0 -> 0.146447
5,41,0 -> 0.853553
5,41,1 -> 0.146447
5,42,0 -> 0.75
5,42,1 -> 0.25
5,43,1 -> 0.75
5,43,0 -> 0.25
5,44,0 -> 0.75
5,44,1 -> 0.25
5,45,0 -> 0.730361
5,45,1 -> 0.269639
5,46,1 -> 0.730361
5,46,0 -> 0.269639
5,47,0 -> 0.730361
5,47,1 -> 0.269639
5,48,0 -> 0.806274
5,48,1 -> 0.193726
5,49,1 -> 0.806274
5,49,0 -> 0.193726
5,50,0 -> 0.806274
5,50,1 -> 0.193726
5,51,0 -> 0.853553
5,51,1 -> 0.146447
5,52,1 -> 0.853553
5,52,0 -> 0.146447
5,53,0 -> 0.853553
5,53,1 -> 0.146447
5,54,0 -> 0.806274
5,54,1 -> 0.193726
5,55,1 -> 0.806274
5,55,0 -> 0.193726
5,56,0 -> 0.806274
5,56,1 -> 0.193726
5,57,0 -> 0.730361
5,57,1 -> 0.269639
5,58,1 -> 0.730361
5,58,0 -> 0.269639
5,59,0 -> 0.730361
5,59,1 -> 0.269639
5,60,0 -> 0.687607
5,60,1 -> 0.312393
5,61,1 -> 0.687607
5,61,0 -> 0.312393
5,62,0 -> 0.687607
5,62,1 -> 0.312393
5,63,0 -> 0.730361
5,63,1 -> 0.269639
5,64,1 -> 0.730361
5,64,0 -> 0.269639
5,65,0 -> 0.730361
5,65,1 -> 0.269639
5,66,0 -> 0.75
5,66,1 -> 0.25
5,67,1 -> 0.75
5,67,0 -> 0.25
5,68,0 -> 0.75
5,68,1 -> 0.25
5,69,0 -> 0.730361
5,69,1 -> 0.269639
5,70,1 -> 0.730361
5,70,0 -> 0.269639
5,71,0 -> 0.730361
5,71,1 -> 0.269639
5,72,0 -> 0.687607
5,72,1 -> 0.312393
5,73,1 -> 0.687607
5,73,0 -> 0.312393
5,74,0 -> 0.687607
5,74,1 -> 0.312393
6,0,0 -> 0.667109
6,0,1 -> 0.332891
6,1,0 -> 0.667109
6,1,1 -> 0.332891
6,2,1 -> 0.667109
6,2,0 -> 0.332891
6,3,0 -> 0.676777
6,3,1 -> 0.323223
6,4,0 -> 0.676777
6,4,1 -> 0.323223
6,5,1 -> 0.676777
6,5,0 -> 0.323223
6,6,0 -> 0.667109
6,6,1 -> 0.332891
6,7,0 -> 0.667109
6,7,1 -> 0.332891
6,8,1 -> 0.667109
6,8,0 -> 0.332891
6,9,0 -> 0.643311
6,9,1 -> 0.356689
6,10,0 -> 0.643311
6,10,1 -> 0.356689
6,11,1 -> 0.643311
6,11,0 -> 0.356689
6,12,0 -> 0.614918
6,12,1 -> 0.385082
6,13,0 -> 0.614918
6,13,1 -> 0.385082
6,14,1 -> 0.614918
6,14,0 -> 0.385082
6,15,0 -> 0.730361
6,15,1 -> 0.269639
6,16,0 -> 0.730361
6,16,1 -> 0.269639
6,17,1 -> 0.730361
6,17,0 -> 0.269639
6,18,0 -> 0.75
6,18,1 -> 0.25
6,19,0 -> 0.75
6,19,1 -> 0.25
6,20,1 -> 0.75
6,20,0 -> 0.25
6,21,0 -> 0.730361
6,21,1 -> 0.269639
6,22,0 -> 0.730361
6,22,1 -> 0.269639
6,23,1 -> 0.730361
6,23,0 -> 0.269639
6,24,0 -> 0.687607
6,24,1 -> 0.312393
6,25,0 -> 0.687607
6,25,1 -> 0.312393
6,26,1 -> 0.687607
6,26,0 -> 0.312393
6,27,0 -> 0.643311
6,27,1 -> 0.356689
6,28,0 -> 0.643311
