37, [s0.0_000, s0.0_100, s0.0_010, s0.0_001, s0.1_000, s0.1_100, s0.1_010, s0.1_001, s0.2_000, s0.2_100, s0.2_010, s0.2_001, s1.0_000, s1.0_100, s1.0_010, s1.0_001, s1.1_000, s1.1_100, s1.1_010, s1.1_001, s1.2_000, s1.2_100, s1.2_010, s1.2_001, s2.0_000, s2.0_100, s2.0_010, s2.0_001, s2.1_000, s2.1_100, s2.1_010, s2.1_001, s2.2_000, s2.2_100, s2.2_010, s2.2_001, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
5,0,0 -> 0.687607
5,0,1 -> 0.312393
5,1,1 -> 0.687607
5,1,0 -> 0.312393
5,2,0 -> 0.687607
5,2,1 -> 0.312393
5,3,0 -> 0.687607
5,3,1 -> 0.312393
5,4,0 -> 0.75
5,4,1 -> 0.25
5,5,1 -> 0.75
5,5,0 -> 0.25
5,6,0 -> 0.75
5,6,1 -> 0.25
5,7,0 -> 0.75
5,7,1 -> 0.25
5,8,0 -> 0.687607
5,8,1 -> 0.312393
5,9,1 -> 0.687607
5,9,0 -> 0.312393
5,10,0 -> 0.687607
5,10,1 -> 0.312393
5,11,0 -> 0.687607
5,11,1 -> 0.312393
5,12,0 -> 0.75
5,12,1 -> 0.25
5,13,1 -> 0.75
5,13,0 -> 0.25
5,14,0 -> 0.75
5,14,1 -> 0.25
5,15,0 -> 0.75
5,15,1 -> 0.25
5,16,0 -> 1.0
5,16,1 -> 0.0
5,17,1 -> 1.0
5,17,0 -> 0.0
5,18,0 -> 1.0
5,18,1 -> 0.0
5,19,0 -> 1.0
5,19,1 -> 0.0
5,20,0 -> 0.75
5,20,1 -> 0.25
5,21,1 -> 0.75
5,21,0 -> 0.25
5,22,0 -> 0.75
5,22,1 -> 0.25
5,23,0 -> 0.75
5,23,1 -> 0.25
5,24,0 -> 0.687607
5,24,1 -> 0.312393
5,25,1 -> 0.687607
5,25,0 -> 0.312393
5,26,0 -> 0.687607
5,26,1 -> 0.312393
5,27,0 -> 0.687607
5,27,1 -> 0.312393
5,28,0 -> 0.75
5,28,1 -> 0.25
5,29,1 -> 0.75
5,29,0 -> 0.25
5,30,0 -> 0.75
5,30,1 -> 0.25
5,31,0 -> 0.75
5,31,1 -> 0.25
5,32,0 -> 0.687607
5,32,1 -> 0.312393
5,33,1 -> 0.687607
5,33,0 -> 0.312393
5,34,0 -> 0.687607
5,34,1 -> 0.312393
5,35,0 -> 0.687607
5,35,1 -> 0.312393
6,0,0 -> 0.570393
6,0,1 -> 0.429607
6,1,0 -> 0.570393
6,1,1 -> 0.429607
6,2,1 -> 0.570393
6,2,0 -> 0.429607
6,3,0 -> 0.570393
6,3,1 -> 0.429607
6,4,0 -> 0.606132
6,4,1 -> 0.393868
6,5,0 -> 0.606132
6,5,1 -> 0.393868
6,6,1 -> 0.606132
6,6,0 -> 0.393868
6,7,0 -> 0.606132
6,7,1 -> 0.393868
6,8,0 -> 0.625
6,8,1 -> 0.375
6,9,0 -> 0.625
6,9,1 -> 0.375
6,10,1 -> 0.625
6,10,0 -> 0.375
6,11,0 -> 0.625
6,11,1 -> 0.375
6,12,0 -> 0.606132
6,12,1 -> 0.393868
6,13,0 -> 0.606132
6,13,1 -> 0.393868
6,14,1 -> 0.606132
6,14,0 -> 0.393868
6,15,0 -> 0.606132
6,15,1 -> 0.393868
6,16,0 -> 0.687607
6,16,1 -> 0.312393
6,17,0 -> 0.687607
6,17,1 -> 0.312393
6,18,1 -> 0.687607
6,18,0 -> 0.312393
6,19,0 -> 0.687607
6,19,1 -> 0.312393
6,20,0 -> 0.75
6,20,1 -> 0.25
6,21,0 -> 0.75
6,21,1 -> 0.25
6,22,1 -> 0.75
6,22,0 -> 0.25
6,23,0 -> 0.75
6,23,1 -> 0.25
6,24,0 -> 0.625
6,24,1 -> 0.375
6,25,0 -> 0.625
6,25,1 -> 0.375
6,26,1 -> 0.625
6,26,0 -> 0.375
6,27,0 -> 0.625
6,27,1 -> 0.375
6,28,0 -> 0.75
6,28,1 -> 0.25
6,29,0 -> 0.75
6,29,1 -> 0.25
6,30,1 -> 0.75
6,30,0 -> 0.25
6,31,0 -> 0.75
6,31,1 -> 0.25
6,32,0 -> 1.0
6,32,1 -> 0.0
6,33,0 -> 1.0
6,33,1 -> 0.0
6,34,1 -> 1.0
6,34,0 -> 0.0
6,35,0 -> 1.0
6,35,1 -> 0.0
7,0,0 -> 0.625
7,0,1 -> 0.375
7,1,0 -> 0.625
7,1,1 -> 0.375
7,2,0 -> 0.625
7,2,1 -> 0.375
7,3,1 -> 0.625
7,3,0 -> 0.375
7,4,0 -> 0.75
7,4,1 -> 0.25
7,5,0 -> 0.75
7,5,1 -> 0.25
7,6,0 -> 0.75
7,6,1 -> 0.25
7,7,1 -> 0.75
7,7,0 -> 0.25
7,8,0 -> 1.0
7,8,1 -> 0.0
7,9,0 -> 1.0
7,9,1 -> 0.0
7,10,0 -> 1.0
7,10,1 -> 0.0
7,11,1 -> 1.0
7,11,0 -> 0.0
7,12,0 -> 0.606132
7,12,1 -> 0.393868
7,13,0 -> 0.606132
7,13,1 -> 0.393868
7,14,0 -> 0.606132
7,14,1 -> 0.393868
7,15,1 -> 0.606132
7,15,0 -> 0.393868
7,16,0 -> 0.687607
7,16,1 -> 0.312393
7,17,0 -> 0.687607
7,17,1 -> 0.312393
7,18,0 -> 0.687607
7,18,1 -> 0.312393
7,19,1 -> 0.687607
7,19,0 -> 0.312393
7,20,0 -> 0.75
7,20,1 -> 0.25
7,21,0 -> 0.75
7,21,1 -> 0.25
7,22,0 -> 0.75
7,22,1 -> 0.25
7,23,1 -> 0.75
7,23,0 -> 0.25
7,24,0 -> 0.570393
7,24,1 -> 0.429607
7,25,0 -> 0.570393
7,25,1 -> 0.429607
7,26,0 -> 0.570393
7,26,1 -> 0.429607
7,27,1 -> 0.570393
7,27,0 -> 0.429607
7,28,0 -> 0.606132
7,28,1 -> 0.393868
7,29,0 -> 0.606132
7,29,1 -> 0.393868
7,30,0 -> 0.606132
7,30,1 -> 0.393868
7,31,1 -> 0.606132
7,31,0 -> 0.393868
7,32,0 -> 0.625
7,32,1 -> 0.375
7,33,0 -> 0.625
7,33,1 -> 0.375
7,34,0 -> 0.625
7,34,1 -> 0.375
7,35,1 -> 0.625
7,35,0 -> 0.375
_,36,2 -> 1

# Reward function (s,a -> r)
8,4 -> -10
9,4 -> -10
10,4 -> -10
11,4 -> 10
8,2 -> 10
9,2 -> 10
10,2 -> 10
11,2 -> 10
16,4 -> -10
17,4 -> 10
18,4 -> -10
19,4 -> -10
20,2 -> 10
21,2 -> 10
22,2 -> 10
23,2 -> 10
32,4 -> -10
33,4 -> -10
34,4 -> 10
35,4 -> -10
32,2 -> 10
33,2 -> 10
34,2 -> 10
35,2 -> 10

# Initial tuples (n,s)
0,1
0,2
0,3
