145, [s0.0_00000, s0.0_10000, s0.0_01000, s0.0_00100, s0.0_00010, s0.0_00001, s0.0_11000, s0.0_10100, s0.0_10010, s0.0_10001, s0.0_01100, s0.0_01010, s0.0_01001, s0.0_00110, s0.0_00101, s0.0_00011, s0.1_00000, s0.1_10000, s0.1_01000, s0.1_00100, s0.1_00010, s0.1_00001, s0.1_11000, s0.1_10100, s0.1_10010, s0.1_10001, s0.1_01100, s0.1_01010, s0.1_01001, s0.1_00110, s0.1_00101, s0.1_00011, s0.2_00000, s0.2_10000, s0.2_01000, s0.2_00100, s0.2_00010, s0.2_00001, s0.2_11000, s0.2_10100, s0.2_10010, s0.2_10001, s0.2_01100, s0.2_01010, s0.2_01001, s0.2_00110, s0.2_00101, s0.2_00011, s1.0_00000, s1.0_10000, s1.0_01000, s1.0_00100, s1.0_00010, s1.0_00001, s1.0_11000, s1.0_10100, s1.0_10010, s1.0_10001, s1.0_01100, s1.0_01010, s1.0_01001, s1.0_00110, s1.0_00101, s1.0_00011, s1.1_00000, s1.1_10000, s1.1_01000, s1.1_00100, s1.1_00010, s1.1_00001, s1.1_11000, s1.1_10100, s1.1_10010, s1.1_10001, s1.1_01100, s1.1_01010, s1.1_01001, s1.1_00110, s1.1_00101, s1.1_00011, s1.2_00000, s1.2_10000, s1.2_01000, s1.2_00100, s1.2_00010, s1.2_00001, s1.2_11000, s1.2_10100, s1.2_10010, s1.2_10001, s1.2_01100, s1.2_01010, s1.2_01001, s1.2_00110, s1.2_00101, s1.2_00011, s2.0_00000, s2.0_10000, s2.0_01000, s2.0_00100, s2.0_00010, s2.0_00001, s2.0_11000, s2.0_10100, s2.0_10010, s2.0_10001, s2.0_01100, s2.0_01010, s2.0_01001, s2.0_00110, s2.0_00101, s2.0_00011, s2.1_00000, s2.1_10000, s2.1_01000, s2.1_00100, s2.1_00010, s2.1_00001, s2.1_11000, s2.1_10100, s2.1_10010, s2.1_10001, s2.1_01100, s2.1_01010, s2.1_01001, s2.1_00110, s2.1_00101, s2.1_00011, s2.2_00000, s2.2_10000, s2.2_01000, s2.2_00100, s2.2_00010, s2.2_00001, s2.2_11000, s2.2_10100, s2.2_10010, s2.2_10001, s2.2_01100, s2.2_01010, s2.2_01001, s2.2_00110, s2.2_00101, s2.2_00011, exit]
1, [e1]
10, [North, South, East, West, Sample, Check0, Check1, Check2, Check3, Check4]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
3,9,3 -> 1
4,9,4 -> 1
5,9,5 -> 1
6,9,6 -> 1
7,9,7 -> 1
8,9,8 -> 1
9,9,9 -> 1
10,9,10 -> 1
11,9,11 -> 1
12,9,12 -> 1
13,9,13 -> 1
14,9,14 -> 1
15,9,15 -> 1
16,0,64 -> 1
16,1,16 -> 1
16,2,32 -> 1
16,3,0 -> 1
17,0,65 -> 1
17,1,17 -> 1
17,2,33 -> 1
17,3,1 -> 1
18,0,66 -> 1
18,1,18 -> 1
18,2,34 -> 1
18,3,2 -> 1
19,0,67 -> 1
19,1,19 -> 1
19,2,35 -> 1
19,3,3 -> 1
20,0,68 -> 1
20,1,20 -> 1
20,2,36 -> 1
20,3,4 -> 1
21,0,69 -> 1
21,1,21 -> 1
21,2,37 -> 1
21,3,5 -> 1
22,0,70 -> 1
22,1,22 -> 1
22,2,38 -> 1
22,3,6 -> 1
23,0,71 -> 1
23,1,23 -> 1
23,2,39 -> 1
23,3,7 -> 1
24,0,72 -> 1
24,1,24 -> 1
24,2,40 -> 1
24,3,8 -> 1
25,0,73 -> 1
25,1,25 -> 1
25,2,41 -> 1
25,3,9 -> 1
26,0,74 -> 1
26,1,26 -> 1
26,2,42 -> 1
26,3,10 -> 1
27,0,75 -> 1
27,1,27 -> 1
27,2,43 -> 1
27,3,11 -> 1
28,0,76 -> 1
28,1,28 -> 1
28,2,44 -> 1
28,3,12 -> 1
29,0,77 -> 1
29,1,29 -> 1
29,2,45 -> 1
29,3,13 -> 1
30,0,78 -> 1
30,1,30 -> 1
30,2,46 -> 1
30,3,14 -> 1
31,0,79 -> 1
31,1,31 -> 1
31,2,47 -> 1
31,3,15 -> 1
16,4,16 -> 1
17,4,17 -> 1
18,4,18 -> 1
19,4,19 -> 1
20,4,20 -> 1
21,4,16 -> 1
22,4,22 -> 1
23,4,23 -> 1
24,4,24 -> 1
25,4,17 -> 1
26,4,26 -> 1
27,4,27 -> 1
28,4,18 -> 1
29,4,29 -> 1
30,4,19 -> 1
31,4,20 -> 1
16,5,16 -> 1
17,5,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
20,5,20 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,6,18 -> 1
19,6,19 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,6,27 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,6,30 -> 1
31,6,31 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,7,30 -> 1
31,7,31 -> 1
16,8,16 -> 1
17,8,17 -> 1
18,8,18 -> 1
19,8,19 -> 1
20,8,20 -> 1
21,8,21 -> 1
22,8,22 -> 1
23,8,23 -> 1
24,8,24 -> 1
25,8,25 -> 1
26,8,26 -> 1
27,8,27 -> 1
28,8,28 -> 1
29,8,29 -> 1
30,8,30 -> 1
31,8,31 -> 1
16,9,16 -> 1
17,9,17 -> 1
18,9,18 -> 1
19,9,19 -> 1
20,9,20 -> 1
21,9,21 -> 1
22,9,22 -> 1
23,9,23 -> 1
24,9,24 -> 1
25,9,25 -> 1
26,9,26 -> 1
27,9,27 -> 1
28,9,28 -> 1
29,9,29 -> 1
30,9,30 -> 1
31,9,31 -> 1
32,0,80 -> 1
32,1,32 -> 1
32,2,144 -> 1
32,3,16 -> 1
33,0,81 -> 1
33,1,33 -> 1
33,2,144 -> 1
33,3,17 -> 1
34,0,82 -> 1
34,1,34 -> 1
34,2,144 -> 1
34,3,18 -> 1
35,0,83 -> 1
35,1,35 -> 1
35,2,144 -> 1
35,3,19 -> 1
36,0,84 -> 1
36,1,36 -> 1
36,2,144 -> 1
36,3,20 -> 1
37,0,85 -> 1
37,1,37 -> 1
37,2,144 -> 1
37,3,21 -> 1
38,0,86 -> 1
38,1,38 -> 1
38,2,144 -> 1
38,3,22 -> 1
39,0,87 -> 1
39,1,39 -> 1
39,2,144 -> 1
39,3,23 -> 1
40,0,88 -> 1
40,1,40 -> 1
40,2,144 -> 1
40,3,24 -> 1
41,0,89 -> 1
41,1,41 -> 1
41,2,144 -> 1
41,3,25 -> 1
42,0,90 -> 1
42,1,42 -> 1
42,2,144 -> 1
42,3,26 -> 1
43,0,91 -> 1
43,1,43 -> 1
43,2,144 -> 1
43,3,27 -> 1
44,0,92 -> 1
44,1,44 -> 1
44,2,144 -> 1
44,3,28 -> 1
45,0,93 -> 1
45,1,45 -> 1
45,2,144 -> 1
45,3,29 -> 1
46,0,94 -> 1
46,1,46 -> 1
46,2,144 -> 1
46,3,30 -> 1
47,0,95 -> 1
47,1,47 -> 1
47,2,144 -> 1
47,3,31 -> 1
32,4,32 -> 1
33,4,33 -> 1
34,4,34 -> 1
35,4,35 -> 1
36,4,32 -> 1
37,4,37 -> 1
38,4,38 -> 1
39,4,39 -> 1
40,4,33 -> 1
41,4,41 -> 1
42,4,42 -> 1
43,4,34 -> 1
44,4,44 -> 1
45,4,35 -> 1
46,4,46 -> 1
47,4,37 -> 1
32,5,32 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
36,5,36 -> 1
37,5,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
40,5,40 -> 1
41,5,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
44,5,44 -> 1
45,5,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,6,38 -> 1
39,6,39 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,6,42 -> 1
43,6,43 -> 1
44,6,44 -> 1
45,6,45 -> 1
46,6,46 -> 1
47,6,47 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,7,36 -> 1
37,7,37 -> 1
38,7,38 -> 1
39,7,39 -> 1
40,7,40 -> 1
41,7,41 -> 1
42,7,42 -> 1
43,7,43 -> 1
44,7,44 -> 1
45,7,45 -> 1
46,7,46 -> 1
47,7,47 -> 1
32,8,32 -> 1
33,8,33 -> 1
34,8,34 -> 1
35,8,35 -> 1
36,8,36 -> 1
37,8,37 -> 1
38,8,38 -> 1
39,8,39 -> 1
40,8,40 -> 1
41,8,41 -> 1
42,8,42 -> 1
43,8,43 -> 1
44,8,44 -> 1
45,8,45 -> 1
46,8,46 -> 1
47,8,47 -> 1
32,9,32 -> 1
33,9,33 -> 1
34,9,34 -> 1
35,9,35 -> 1
36,9,36 -> 1
37,9,37 -> 1
38,9,38 -> 1
39,9,39 -> 1
40,9,40 -> 1
41,9,41 -> 1
42,9,42 -> 1
43,9,43 -> 1
44,9,44 -> 1
45,9,45 -> 1
46,9,46 -> 1
47,9,47 -> 1
48,0,96 -> 1
48,1,0 -> 1
48,2,64 -> 1
48,3,48 -> 1
49,0,97 -> 1
49,1,1 -> 1
49,2,65 -> 1
49,3,49 -> 1
50,0,98 -> 1
50,1,2 -> 1
50,2,66 -> 1
50,3,50 -> 1
51,0,99 -> 1
51,1,3 -> 1
51,2,67 -> 1
51,3,51 -> 1
52,0,100 -> 1
52,1,4 -> 1
52,2,68 -> 1
52,3,52 -> 1
53,0,101 -> 1
53,1,5 -> 1
53,2,69 -> 1
53,3,53 -> 1
54,0,102 -> 1
54,1,6 -> 1
54,2,70 -> 1
54,3,54 -> 1
55,0,103 -> 1
55,1,7 -> 1
55,2,71 -> 1
55,3,55 -> 1
56,0,104 -> 1
56,1,8 -> 1
56,2,72 -> 1
56,3,56 -> 1
57,0,105 -> 1
57,1,9 -> 1
57,2,73 -> 1
57,3,57 -> 1
58,0,106 -> 1
58,1,10 -> 1
58,2,74 -> 1
58,3,58 -> 1
59,0,107 -> 1
59,1,11 -> 1
59,2,75 -> 1
59,3,59 -> 1
60,0,108 -> 1
60,1,12 -> 1
60,2,76 -> 1
60,3,60 -> 1
61,0,109 -> 1
61,1,13 -> 1
61,2,77 -> 1
61,3,61 -> 1
62,0,110 -> 1
62,1,14 -> 1
62,2,78 -> 1
62,3,62 -> 1
63,0,111 -> 1
63,1,15 -> 1
63,2,79 -> 1
63,3,63 -> 1
48,4,48 -> 1
49,4,48 -> 1
50,4,50 -> 1
51,4,51 -> 1
52,4,52 -> 1
53,4,53 -> 1
54,4,50 -> 1
55,4,51 -> 1
56,4,52 -> 1
57,4,53 -> 1
58,4,58 -> 1
59,4,59 -> 1
60,4,60 -> 1
61,4,61 -> 1
62,4,62 -> 1
63,4,63 -> 1
48,5,48 -> 1
49,5,49 -> 1
50,5,50 -> 1
51,5,51 -> 1
52,5,52 -> 1
53,5,53 -> 1
54,5,54 -> 1
55,5,55 -> 1
56,5,56 -> 1
57,5,57 -> 1
58,5,58 -> 1
59,5,59 -> 1
60,5,60 -> 1
61,5,61 -> 1
62,5,62 -> 1
63,5,63 -> 1
48,6,48 -> 1
49,6,49 -> 1
50,6,50 -> 1
51,6,51 -> 1
52,6,52 -> 1
53,6,53 -> 1
54,6,54 -> 1
55,6,55 -> 1
56,6,56 -> 1
57,6,57 -> 1
58,6,58 -> 1
59,6,59 -> 1
60,6,60 -> 1
61,6,61 -> 1
62,6,62 -> 1
63,6,63 -> 1
48,7,48 -> 1
49,7,49 -> 1
50,7,50 -> 1
51,7,51 -> 1
52,7,52 -> 1
53,7,53 -> 1
54,7,54 -> 1
55,7,55 -> 1
56,7,56 -> 1
57,7,57 -> 1
58,7,58 -> 1
59,7,59 -> 1
60,7,60 -> 1
61,7,61 -> 1
62,7,62 -> 1
63,7,63 -> 1
48,8,48 -> 1
49,8,49 -> 1
50,8,50 -> 1
51,8,51 -> 1
52,8,52 -> 1
53,8,53 -> 1
54,8,54 -> 1
55,8,55 -> 1
56,8,56 -> 1
57,8,57 -> 1
58,8,58 -> 1
59,8,59 -> 1
60,8,60 -> 1
61,8,61 -> 1
62,8,62 -> 1
63,8,63 -> 1
48,9,48 -> 1
49,9,49 -> 1
50,9,50 -> 1
51,9,51 -> 1
52,9,52 -> 1
53,9,53 -> 1
54,9,54 -> 1
55,9,55 -> 1
56,9,56 -> 1
57,9,57 -> 1
58,9,58 -> 1
59,9,59 -> 1
60,9,60 -> 1
61,9,61 -> 1
62,9,62 -> 1
63,9,63 -> 1
64,0,112 -> 1
64,1,16 -> 1
64,2,80 -> 1
64,3,48 -> 1
65,0,113 -> 1
65,1,17 -> 1
65,2,81 -> 1
65,3,49 -> 1
66,0,114 -> 1
66,1,18 -> 1
66,2,82 -> 1
66,3,50 -> 1
67,0,115 -> 1
67,1,19 -> 1
67,2,83 -> 1
67,3,51 -> 1
68,0,116 -> 1
68,1,20 -> 1
68,2,84 -> 1
68,3,52 -> 1
69,0,117 -> 1
69,1,21 -> 1
69,2,85 -> 1
69,3,53 -> 1
70,0,118 -> 1
70,1,22 -> 1
70,2,86 -> 1
70,3,54 -> 1
71,0,119 -> 1
71,1,23 -> 1
71,2,87 -> 1
71,3,55 -> 1
72,0,120 -> 1
72,1,24 -> 1
72,2,88 -> 1
72,3,56 -> 1
73,0,121 -> 1
73,1,25 -> 1
73,2,89 -> 1
73,3,57 -> 1
74,0,122 -> 1
74,1,26 -> 1
74,2,90 -> 1
74,3,58 -> 1
75,0,123 -> 1
75,1,27 -> 1
75,2,91 -> 1
75,3,59 -> 1
76,0,124 -> 1
76,1,28 -> 1
76,2,92 -> 1
76,3,60 -> 1
77,0,125 -> 1
77,1,29 -> 1
77,2,93 -> 1
77,3,61 -> 1
78,0,126 -> 1
78,1,30 -> 1
78,2,94 -> 1
78,3,62 -> 1
79,0,127 -> 1
79,1,31 -> 1
79,2,95 -> 1
79,3,63 -> 1
64,4,64 -> 1
65,4,65 -> 1
66,4,66 -> 1
67,4,67 -> 1
68,4,68 -> 1
69,4,69 -> 1
70,4,70 -> 1
71,4,71 -> 1
72,4,72 -> 1
73,4,73 -> 1
74,4,74 -> 1
75,4,75 -> 1
76,4,76 -> 1
77,4,77 -> 1
78,4,78 -> 1
79,4,79 -> 1
64,5,64 -> 1
65,5,65 -> 1
66,5,66 -> 1
67,5,67 -> 1
68,5,68 -> 1
69,5,69 -> 1
70,5,70 -> 1
71,5,71 -> 1
72,5,72 -> 1
73,5,73 -> 1
74,5,74 -> 1
75,5,75 -> 1
76,5,76 -> 1
77,5,77 -> 1
78,5,78 -> 1
79,5,79 -> 1
64,6,64 -> 1
65,6,65 -> 1
66,6,66 -> 1
67,6,67 -> 1
68,6,68 -> 1
69,6,69 -> 1
70,6,70 -> 1
71,6,71 -> 1
72,6,72 -> 1
73,6,73 -> 1
74,6,74 -> 1
75,6,75 -> 1
76,6,76 -> 1
77,6,77 -> 1
78,6,78 -> 1
79,6,79 -> 1
64,7,64 -> 1
65,7,65 -> 1
66,7,66 -> 1
67,7,67 -> 1
68,7,68 -> 1
69,7,69 -> 1
70,7,70 -> 1
71,7,71 -> 1
72,7,72 -> 1
73,7,73 -> 1
74,7,74 -> 1
75,7,75 -> 1
76,7,76 -> 1
77,7,77 -> 1
78,7,78 -> 1
79,7,79 -> 1
64,8,64 -> 1
65,8,65 -> 1
66,8,66 -> 1
67,8,67 -> 1
68,8,68 -> 1
69,8,69 -> 1
70,8,70 -> 1
71,8,71 -> 1
72,8,72 -> 1
73,8,73 -> 1
74,8,74 -> 1
75,8,75 -> 1
76,8,76 -> 1
77,8,77 -> 1
78,8,78 -> 1
79,8,79 -> 1
64,9,64 -> 1
65,9,65 -> 1
66,9,66 -> 1
67,9,67 -> 1
68,9,68 -> 1
69,9,69 -> 1
70,9,70 -> 1
71,9,71 -> 1
72,9,72 -> 1
73,9,73 -> 1
74,9,74 -> 1
75,9,75 -> 1
76,9,76 -> 1
77,9,77 -> 1
78,9,78 -> 1
79,9,79 -> 1
80,0,128 -> 1
80,1,32 -> 1
80,2,144 -> 1
80,3,64 -> 1
81,0,129 -> 1
81,1,33 -> 1
81,2,144 -> 1
81,3,65 -> 1
82,0,130 -> 1
82,1,34 -> 1
82,2,144 -> 1
82,3,66 -> 1
83,0,131 -> 1
83,1,35 -> 1
83,2,144 -> 1
83,3,67 -> 1
84,0,132 -> 1
84,1,36 -> 1
84,2,144 -> 1
84,3,68 -> 1
85,0,133 -> 1
85,1,37 -> 1
85,2,144 -> 1
85,3,69 -> 1
86,0,134 -> 1
86,1,38 -> 1
86,2,144 -> 1
86,3,70 -> 1
87,0,135 -> 1
87,1,39 -> 1
87,2,144 -> 1
87,3,71 -> 1
88,0,136 -> 1
88,1,40 -> 1
88,2,144 -> 1
88,3,72 -> 1
89,0,137 -> 1
89,1,41 -> 1
89,2,144 -> 1
89,3,73 -> 1
90,0,138 -> 1
90,1,42 -> 1
90,2,144 -> 1
90,3,74 -> 1
91,0,139 -> 1
91,1,43 -> 1
91,2,144 -> 1
91,3,75 -> 1
92,0,140 -> 1
92,1,44 -> 1
92,2,144 -> 1
92,3,76 -> 1
93,0,141 -> 1
93,1,45 -> 1
93,2,144 -> 1
93,3,77 -> 1
94,0,142 -> 1
94,1,46 -> 1
94,2,144 -> 1
94,3,78 -> 1
95,0,143 -> 1
95,1,47 -> 1
95,2,144 -> 1
95,3,79 -> 1
80,4,80 -> 1
81,4,81 -> 1
82,4,80 -> 1
83,4,83 -> 1
84,4,84 -> 1
85,4,85 -> 1
86,4,81 -> 1
87,4,87 -> 1
88,4,88 -> 1
89,4,89 -> 1
90,4,83 -> 1
91,4,84 -> 1
92,4,85 -> 1
93,4,93 -> 1
94,4,94 -> 1
95,4,95 -> 1
80,5,80 -> 1
81,5,81 -> 1
82,5,82 -> 1
83,5,83 -> 1
84,5,84 -> 1
85,5,85 -> 1
86,5,86 -> 1
87,5,87 -> 1
88,5,88 -> 1
89,5,89 -> 1
90,5,90 -> 1
91,5,91 -> 1
92,5,92 -> 1
93,5,93 -> 1
94,5,94 -> 1
95,5,95 -> 1
80,6,80 -> 1
81,6,81 -> 1
82,6,82 -> 1
83,6,83 -> 1
84,6,84 -> 1
85,6,85 -> 1
86,6,86 -> 1
87,6,87 -> 1
88,6,88 -> 1
89,6,89 -> 1
90,6,90 -> 1
91,6,91 -> 1
92,6,92 -> 1
93,6,93 -> 1
94,6,94 -> 1
95,6,95 -> 1
80,7,80 -> 1
81,7,81 -> 1
82,7,82 -> 1
83,7,83 -> 1
84,7,84 -> 1
85,7,85 -> 1
86,7,86 -> 1
87,7,87 -> 1
88,7,88 -> 1
89,7,89 -> 1
90,7,90 -> 1
91,7,91 -> 1
92,7,92 -> 1
93,7,93 -> 1
94,7,94 -> 1
95,7,95 -> 1
80,8,80 -> 1
81,8,81 -> 1
82,8,82 -> 1
83,8,83 -> 1
84,8,84 -> 1
85,8,85 -> 1
86,8,86 -> 1
87,8,87 -> 1
88,8,88 -> 1
89,8,89 -> 1
90,8,90 -> 1
91,8,91 -> 1
92,8,92 -> 1
93,8,93 -> 1
94,8,94 -> 1
95,8,95 -> 1
80,9,80 -> 1
81,9,81 -> 1
82,9,82 -> 1
83,9,83 -> 1
84,9,84 -> 1
85,9,85 -> 1
86,9,86 -> 1
87,9,87 -> 1
88,9,88 -> 1
89,9,89 -> 1
90,9,90 -> 1
91,9,91 -> 1
92,9,92 -> 1
93,9,93 -> 1
94,9,94 -> 1
95,9,95 -> 1
96,0,96 -> 1
96,1,48 -> 1
96,2,112 -> 1
96,3,96 -> 1
97,0,97 -> 1
97,1,49 -> 1
97,2,113 -> 1
97,3,97 -> 1
98,0,98 -> 1
98,1,50 -> 1
98,2,114 -> 1
98,3,98 -> 1
99,0,99 -> 1
99,1,51 -> 1
99,2,115 -> 1
99,3,99 -> 1
100,0,100 -> 1
100,1,52 -> 1
100,2,116 -> 1
100,3,100 -> 1
101,0,101 -> 1
101,1,53 -> 1
101,2,117 -> 1
101,3,101 -> 1
102,0,102 -> 1
102,1,54 -> 1
102,2,118 -> 1
102,3,102 -> 1
103,0,103 -> 1
103,1,55 -> 1
103,2,119 -> 1
103,3,103 -> 1
104,0,104 -> 1
104,1,56 -> 1
104,2,120 -> 1
104,3,104 -> 1
105,0,105 -> 1
105,1,57 -> 1
105,2,121 -> 1
105,3,105 -> 1
106,0,106 -> 1
106,1,58 -> 1
106,2,122 -> 1
106,3,106 -> 1
107,0,107 -> 1
107,1,59 -> 1
107,2,123 -> 1
107,3,107 -> 1
108,0,108 -> 1
108,1,60 -> 1
108,2,124 -> 1
108,3,108 -> 1
109,0,109 -> 1
109,1,61 -> 1
109,2,125 -> 1
109,3,109 -> 1
110,0,110 -> 1
110,1,62 -> 1
110,2,126 -> 1
110,3,110 -> 1
111,0,111 -> 1
111,1,63 -> 1
111,2,127 -> 1
111,3,111 -> 1
96,4,96 -> 1
97,4,97 -> 1
98,4,98 -> 1
99,4,96 -> 1
100,4,100 -> 1
101,4,101 -> 1
102,4,102 -> 1
103,4,97 -> 1
104,4,104 -> 1
105,4,105 -> 1
106,4,98 -> 1
107,4,107 -> 1
108,4,108 -> 1
109,4,100 -> 1
110,4,101 -> 1
111,4,111 -> 1
96,5,96 -> 1
97,5,97 -> 1
98,5,98 -> 1
99,5,99 -> 1
100,5,100 -> 1
101,5,101 -> 1
102,5,102 -> 1
