49, [s0.0_00, s0.0_10, s0.0_01, s0.1_00, s0.1_10, s0.1_01, s0.2_00, s0.2_10, s0.2_01, s0.3_00, s0.3_10, s0.3_01, s1.0_00, s1.0_10, s1.0_01, s1.1_00, s1.1_10, s1.1_01, s1.2_00, s1.2_10, s1.2_01, s1.3_00, s1.3_10, s1.3_01, s2.0_00, s2.0_10, s2.0_01, s2.1_00, s2.1_10, s2.1_01, s2.2_00, s2.2_10, s2.2_01, s2.3_00, s2.3_10, s2.3_01, s3.0_00, s3.0_10, s3.0_01, s3.1_00, s3.1_10, s3.1_01, s3.2_00, s3.2_10, s3.2_01, s3.3_00, s3.3_10, s3.3_01, exit]
1, [e1]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
5,0,0 -> 0.806274
5,0,1 -> 0.193726
5,1,1 -> 0.806274
5,1,0 -> 0.193726
5,2,0 -> 0.806274
5,2,1 -> 0.193726
5,3,0 -> 0.853553
5,3,1 -> 0.146447
5,4,1 -> 0.853553
5,4,0 -> 0.146447
5,5,0 -> 0.853553
5,5,1 -> 0.146447
5,6,0 -> 0.806274
5,6,1 -> 0.193726
5,7,1 -> 0.806274
5,7,0 -> 0.193726
5,8,0 -> 0.806274
5,8,1 -> 0.193726
5,9,0 -> 0.730361
5,9,1 -> 0.269639
5,10,1 -> 0.730361
5,10,0 -> 0.269639
5,11,0 -> 0.730361
5,11,1 -> 0.269639
5,12,0 -> 0.853553
5,12,1 -> 0.146447
5,13,1 -> 0.853553
5,13,0 -> 0.146447
5,14,0 -> 0.853553
5,14,1 -> 0.146447
5,15,0 -> 1.0
5,15,1 -> 0.0
5,16,1 -> 1.0
5,16,0 -> 0.0
5,17,0 -> 1.0
5,17,1 -> 0.0
5,18,0 -> 0.853553
5,18,1 -> 0.146447
5,19,1 -> 0.853553
5,19,0 -> 0.146447
5,20,0 -> 0.853553
5,20,1 -> 0.146447
5,21,0 -> 0.75
5,21,1 -> 0.25
5,22,1 -> 0.75
5,22,0 -> 0.25
5,23,0 -> 0.75
5,23,1 -> 0.25
5,24,0 -> 0.806274
5,24,1 -> 0.193726
5,25,1 -> 0.806274
5,25,0 -> 0.193726
5,26,0 -> 0.806274
5,26,1 -> 0.193726
5,27,0 -> 0.853553
5,27,1 -> 0.146447
5,28,1 -> 0.853553
5,28,0 -> 0.146447
5,29,0 -> 0.853553
5,29,1 -> 0.146447
5,30,0 -> 0.806274
5,30,1 -> 0.193726
5,31,1 -> 0.806274
5,31,0 -> 0.193726
5,32,0 -> 0.806274
5,32,1 -> 0.193726
5,33,0 -> 0.730361
5,33,1 -> 0.269639
5,34,1 -> 0.730361
5,34,0 -> 0.269639
5,35,0 -> 0.730361
5,35,1 -> 0.269639
5,36,0 -> 0.730361
5,36,1 -> 0.269639
5,37,1 -> 0.730361
5,37,0 -> 0.269639
5,38,0 -> 0.730361
5,38,1 -> 0.269639
5,39,0 -> 0.75
5,39,1 -> 0.25
5,40,1 -> 0.75
5,40,0 -> 0.25
5,41,0 -> 0.75
5,41,1 -> 0.25
5,42,0 -> 0.730361
5,42,1 -> 0.269639
5,43,1 -> 0.730361
5,43,0 -> 0.269639
5,44,0 -> 0.730361
5,44,1 -> 0.269639
5,45,0 -> 0.687607
5,45,1 -> 0.312393
5,46,1 -> 0.687607
5,46,0 -> 0.312393
5,47,0 -> 0.687607
5,47,1 -> 0.312393
6,0,0 -> 0.643311
6,0,1 -> 0.356689
6,1,0 -> 0.643311
6,1,1 -> 0.356689
6,2,1 -> 0.643311
6,2,0 -> 0.356689
6,3,0 -> 0.687607
6,3,1 -> 0.312393
6,4,0 -> 0.687607
6,4,1 -> 0.312393
6,5,1 -> 0.687607
6,5,0 -> 0.312393
6,6,0 -> 0.730361
6,6,1 -> 0.269639
6,7,0 -> 0.730361
6,7,1 -> 0.269639
6,8,1 -> 0.730361
6,8,0 -> 0.269639
6,9,0 -> 0.75
6,9,1 -> 0.25
6,10,0 -> 0.75
6,10,1 -> 0.25
6,11,1 -> 0.75
6,11,0 -> 0.25
6,12,0 -> 0.667109
6,12,1 -> 0.332891
6,13,0 -> 0.667109
6,13,1 -> 0.332891
6,14,1 -> 0.667109
6,14,0 -> 0.332891
6,15,0 -> 0.730361
6,15,1 -> 0.269639
6,16,0 -> 0.730361
6,16,1 -> 0.269639
6,17,1 -> 0.730361
6,17,0 -> 0.269639
6,18,0 -> 0.806274
6,18,1 -> 0.193726
6,19,0 -> 0.806274
6,19,1 -> 0.193726
6,20,1 -> 0.806274
6,20,0 -> 0.193726
6,21,0 -> 0.853553
6,21,1 -> 0.146447
6,22,0 -> 0.853553
6,22,1 -> 0.146447
6,23,1 -> 0.853553
6,23,0 -> 0.146447
6,24,0 -> 0.676777
6,24,1 -> 0.323223
6,25,0 -> 0.676777
6,25,1 -> 0.323223
6,26,1 -> 0.676777
6,26,0 -> 0.323223
6,27,0 -> 0.75
6,27,1 -> 0.25
6,28,0 -> 0.75
6,28,1 -> 0.25
6,29,1 -> 0.75
6,29,0 -> 0.25
6,30,0 -> 0.853553
6,30,1 -> 0.146447
6,31,0 -> 0.853553
6,31,1 -> 0.146447
6,32,1 -> 0.853553
6,32,0 -> 0.146447
6,33,0 -> 1.0
6,33,1 -> 0.0
6,34,0 -> 1.0
6,34,1 -> 0.0
6,35,1 -> 1.0
6,35,0 -> 0.0
6,36,0 -> 0.667109
6,36,1 -> 0.332891
6,37,0 -> 0.667109
6,37,1 -> 0.332891
6,38,1 -> 0.667109
6,38,0 -> 0.332891
6,39,0 -> 0.730361
6,39,1 -> 0.269639
6,40,0 -> 0.730361
6,40,1 -> 0.269639
6,41,1 -> 0.730361
6,41,0 -> 0.269639
6,42,0 -> 0.806274
6,42,1 -> 0.193726
6,43,0 -> 0.806274
6,43,1 -> 0.193726
6,44,1 -> 0.806274
6,44,0 -> 0.193726
6,45,0 -> 0.853553
6,45,1 -> 0.146447
6,46,0 -> 0.853553
6,46,1 -> 0.146447
6,47,1 -> 0.853553
6,47,0 -> 0.146447
_,48,2 -> 1

# Reward function (s,a -> r)
9,2 -> 10
10,2 -> 10
11,2 -> 10
15,4 -> -10
16,4 -> 10
17,4 -> -10
21,2 -> 10
22,2 -> 10
23,2 -> 10
33,4 -> -10
34,4 -> -10
35,4 -> 10
33,2 -> 10
34,2 -> 10
35,2 -> 10
45,2 -> 10
46,2 -> 10
47,2 -> 10

# Initial tuples (n,s)
0,1
0,2
