benchmark,num_states,num_actions,num_obs,num_initial_states
pentagon.POMDP_3_4,212,4,28,4
pentagon.POMDP_4_1,212,4,28,1
pentagon.POMDP_4_2,212,4,28,2
pentagon.POMDP_4_3,212,4,28,3
pentagon.POMDP_4_4,212,4,28,4
pentagon.POMDP_5_1,212,4,28,1
pentagon.POMDP_5_2,212,4,28,2
pentagon.POMDP_5_3,212,4,28,3
pentagon.POMDP_5_4,212,4,28,4
pentagon.POMDP_6_1,212,4,28,1
pentagon.POMDP_6_2,212,4,28,2
pentagon.POMDP_6_3,212,4,28,3
pentagon.POMDP_6_4,212,4,28,4
pentagon.POMDP_7_1,212,4,28,1
pentagon.POMDP_7_2,212,4,28,2
pentagon.POMDP_7_3,212,4,28,3
pentagon.POMDP_7_4,212,4,28,4
sunysb.POMDP_1_1,300,4,28,1
sunysb.POMDP_1_2,300,4,28,2
sunysb.POMDP_1_3,300,4,28,3
sunysb.POMDP_1_4,300,4,28,4
sunysb.POMDP_2_1,300,4,28,1
sunysb.POMDP_2_2,300,4,28,2
sunysb.POMDP_2_3,300,4,28,3
sunysb.POMDP_2_4,300,4,28,4
sunysb.POMDP_3_1,300,4,28,1
sunysb.POMDP_3_2,300,4,28,2
sunysb.POMDP_3_3,300,4,28,3
sunysb.POMDP_3_4,300,4,28,4
sunysb.POMDP_4_1,300,4,28,1
sunysb.POMDP_4_2,300,4,28,2
sunysb.POMDP_4_3,300,4,28,3
sunysb.POMDP_4_4,300,4,28,4
sunysb.POMDP_5_1,300,4,28,1
sunysb.POMDP_5_2,300,4,28,2
sunysb.POMDP_5_3,300,4,28,3
sunysb.POMDP_5_4,300,4,28,4
sunysb.POMDP_6_1,300,4,28,1
sunysb.POMDP_6_2,300,4,28,2
sunysb.POMDP_6_3,300,4,28,3
sunysb.POMDP_6_4,300,4,28,4
sunysb.POMDP_7_1,300,4,28,1
sunysb.POMDP_7_2,300,4,28,2
sunysb.POMDP_7_3,300,4,28,3
sunysb.POMDP_7_4,300,4,28,4
